"Sheet","Severity","Excluded","Type","Description","Details"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.6289 mm, 1.09982 mm): Horizontal Wire, length 0.0965 mm"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.6289 mm, 1.09982 mm): Vertical Wire, length 0.0584 mm"
"/ (ECAD_main.kicad_sch)","warning","False","footprint_link_issues","Footprint 'NX3225GD' not found in library 'zpc-lib'.","@(2.7178 mm, 0.9398 mm): Symbol Y1 [Crystal]"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.72542 mm, 1.09982 mm): Horizontal Wire, length 0.0686 mm"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.72542 mm, 1.11252 mm): Vertical Wire, length 0.0127 mm"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.72542 mm, 1.11252 mm): Symbol #PWR07 Pin 1 [Power input, Line]"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.794 mm, 1.016 mm): Vertical Wire, length 0.0838 mm"
"/ (ECAD_main.kicad_sch)","warning","False","footprint_link_issues","Footprint 'OZON_TECH_LOGO' not found in library 'zpc-lib'.","@(3.5179 mm, 1.3843 mm): Symbol HU1 [LOGO]"
"/ (ECAD_main.kicad_sch)","warning","False","lib_symbol_issues","The symbol library 'zpc-lib' was not found at '/__w/ECAD_main_project/ECAD_main_project/ECAD_main/../ECAD-libs/GOST_lib.kicad_sym'.","@(3.5179 mm, 1.3843 mm): Symbol HU1 [LOGO]"
"/ (ECAD_main.kicad_sch)","warning","False","footprint_link_issues","Footprint 'DS201b' not found in library 'zpc-lib'.","@(0.3048 mm, 0.3429 mm): Symbol J3 [Jack-DC]"
"/ (ECAD_main.kicad_sch)","warning","False","footprint_link_issues","Footprint 'K78xxMT-500R4' not found in library 'zpc-lib'.","@(1.0287 mm, 0.8382 mm): Symbol D9 [K78xxMT-500R4]"
"/ (ECAD_main.kicad_sch)","warning","False","lib_symbol_issues","The symbol library 'zpc-lib' was not found at '/__w/ECAD_main_project/ECAD_main_project/ECAD_main/../ECAD-libs/GOST_lib.kicad_sym'.","@(1.0287 mm, 0.8382 mm): Symbol D9 [K78xxMT-500R4]"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.0066 mm, 0.35 mm): Vertical Wire, length 0.0325 mm"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.0884 mm, 0.35 mm): Horizontal Wire, length 0.0818 mm"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.0828 mm, 0.4191 mm): Vertical Wire, length 0.0183 mm"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.0828 mm, 0.4008 mm): Horizontal Wire, length 0.0056 mm"
"/ (ECAD_main.kicad_sch)","warning","False","footprint_link_issues","Footprint 'CPFC805' not found in library 'zpc-lib'.","@(2.1392 mm, 0.3754 mm): Symbol FL1 [Filter_EMI_CommonMode]"
"/ (ECAD_main.kicad_sch)","warning","False","endpoint_off_grid","Symbol pin or wire end off connection grid","@(2.19 mm, 0.35 mm): Horizontal Wire, length 0.1600 mm"
